"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_80QFN";;;
2;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
3;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
4;"C5,C1,C19,C24,C25,C28";"C_0805_2012Metric";6;"10u";;;
5;"C17,C2,C12,C16,C18,C15,C20,C14,C8,C21,C11,C13,C27,C23";"C_0402_1005Metric";14;"100n";;;
6;"R1,R9,R11,R13";"R_0402_1005Metric";4;"DNF";;;
7;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
8;"C4,C3";"C_0402_1005Metric";2;"15p";;;
9;"R7,R8";"R_0402_1005Metric";2;"27";;;
10;"R2,R4,R6,R17";"R_0402_1005Metric";4;"1k";;;
11;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
12;"U6";"TO-220-3_Horizontal_TabDown";1;"LM1084-5.0";;;
13;"J9";"PinHeader_1x06_P2.54mm_Horizontal";1;"Conn_01x06_Pin";;;
14;"R3";"R_0402_1005Metric";1;"33";;;
15;"J12,J11,J10";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Pin";;;
16;"C29";"C_Radial_D6.3mm_H5.0mm_P2.50mm";1;"250u";;;
17;"C9,C10";"C_0402_1005Metric";2;"4.7u";;;
18;"C7,C6";"C_0402_1005Metric_small_pads";2;"4.7u";;;
19;"SW1,SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";2;"SW_Push";;;
20;"J8,J7";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";2;"Screw_Terminal_01x02";;;
21;"R12,R14,R16,R15";"R_0402_1005Metric";4;"4.7k";;;
22;"R10";"R_0402_1005Metric";1;"0";;;
23;"C26";"C_0402_1005Metric";1;"0.1u";;;
24;"C30";"C_0402_1005Metric";1;"0.05u";;;
25;"U8";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM386";;;
26;"L1";"L_pol_2016";1;"3.3u";;;
27;"J4";"PinHeader_2x08_P2.54mm_Horizontal";1;"Conn_02x08_Counter_Clockwise";;;
28;"R5";"R_0402_1005Metric";1;"10k";;;
29;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24AA025E-SN";;;
30;"U4";"SOIC-8_5.23x5.23mm_P1.27mm";1;"DNF";;;
31;"C22";"C_0402_1005Metric";1;"DNF";;;
32;"U7";"SSOP-14_5.3x6.2mm_P0.65mm";1;"LM324";;;
