Ref,Val,Package,PosX,PosY,Rot,Side
"C22","DNF","C_0402_1005Metric",-11.400000,17.900000,180.000000,bottom
"C23","100n","C_0402_1005Metric",-13.500000,-2.000000,180.000000,bottom
"C27","100n","C_0402_1005Metric",15.500000,15.000000,180.000000,bottom
"C28","10u","C_0805_2012Metric",16.500000,13.000000,180.000000,bottom
"R11","DNF","R_0402_1005Metric",-6.900000,18.410000,-90.000000,bottom
"R13","DNF","R_0402_1005Metric",-8.700000,17.900000,0.000000,bottom
"R15","4.7k","R_0402_1005Metric",-15.500000,7.500000,0.000000,bottom
"R16","4.7k","R_0402_1005Metric",-15.500000,6.000000,0.000000,bottom
"U4","DNF","SOIC-8_5.23x5.23mm_P1.27mm",-7.000000,12.800000,180.000000,bottom
"U5","24AA025E-SN","SOIC-8_3.9x4.9mm_P1.27mm",-14.500000,2.500000,0.000000,bottom
"U7","LM324","SSOP-14_5.3x6.2mm_P0.65mm",15.000000,20.000000,180.000000,bottom
