Designator,Footprint,Quantity,Comment,LCSC Part #
"C1, C19, C24, C25, C28, C5",0805,6,10u,CL21A106KAYNNNE
"C10, C6, C7, C9",0402,4,4.7u,CL05A475MP5NRNC
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C21, C23, C27, C8",0402,14,100n,CL05B104KO5NNNC
"C22, R1, R11, R13, R9",0402,5,DNF,
C26,0402,1,0.1u,CL05B104KO5NNNC
C29,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,250u,C7469982
"C3, C4",0402,2,15p,C1548
C30,0402,1,0.05u,C77012
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,C428495
"J10, J11, J12",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,C5360898
J4,PinHeader_2x08_P2.54mm_Horizontal,1,Conn_02x08_Counter_Clockwise,C9142
"J7, J8","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",2,Screw_Terminal_01x02,C3029316
J9,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Pin,C37208
L1,0806,1,3.3u,C42411119
R10,0402,1,0,0402WGF0000TCE
"R12, R14, R15, R16",0402,4,4.7k,0402WGF4701TCE
"R17, R2, R4, R6",0402,4,1k,0402WGF1001TCE
R3,0402,1,33,0402WGF330JTCE
R5,0402,1,10k,0402WGF1002TCE
"R7, R8",0402,2,27,0402WGF270JTCE
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,C5504987
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,C42415655
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C5400
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,W25Q128JVSIQ
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,DNF,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,24AA025E-SN,C46840
U6,TO-220-3_Horizontal_TabDown,1,LM1084-5.0,C9719
U7,SSOP-14_5.3x6.2mm_P0.65mm,1,LM324,C7942
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,LM386,C23573
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
