Designator,Mid X,Mid Y,Rotation,Layer
C1,7.9375,23.8,0,top
C10,1.4,-8.3,270,top
C11,8,0.5,0,top
C12,-1,8.8,90,top
C13,-1.3,-8.3,270,top
C14,-5.8,8.1,180,top
C15,-8,2.9,180,top
C16,8.005,-0.5,0,top
C17,-8,-2.2,180,top
C18,7.5,-4.5,0,top
C19,-14.885,22,0,top
C2,-3.815,17.17,180,top
C20,7.5,4.3,0,top
C21,-4.7,-6.7,180,top
C22,-11.4,17.9,0,bottom
C23,-13.5,-2,0,bottom
C24,16,7,180,top
C25,20.5,5.5,0,top
C26,13.5,14.5,180,top
C27,15.5,15,0,bottom
C28,16.5,13,0,bottom
C29,16.7025,26.823049,0,top
C3,-1.375,-10.42,180,top
C30,11.5,24.5,180,top
C4,1.595,-10.42,0,top
C5,9.025,11,0,top
C6,3,6.05,0,top
C7,3,7,0,top
C8,-8,0.2,180,top
C9,5.2,6.5,270,top
J1,-0.025,27.165,180,top
J10,-17.5,-7.73,270,top
J11,-13,-7.73,270,top
J12,10.23,28,0,top
J4,-23.27,13.89,270,top
J7,22.005,14.23,270,top
J8,22.505,21.23,270,top
J9,-24.615,-5.5,270,top
L1,3,8.65,0,top
R1,-7.6,17.7,270,top
R10,-11.4,17.2,0,top
R11,-6.9,18.41,270,bottom
R12,-10,-8,0,top
R13,-8.7,17.9,180,bottom
R14,-10,-10.5,0,top
R15,-15.5,7.5,180,bottom
R16,-15.5,6,180,bottom
R17,14,11,270,top
R2,0.2,-8.305,270,top
R3,5.2,8.35,270,top
R4,8.1,-13.7,270,top
R5,-17.5,-3,0,top
R6,-11.4,18.6,0,top
R7,0,8.8,270,top
R8,1,8.8,270,top
R9,-9.1,17.7,270,top
SW1,-8.8,24.8,270,top
SW2,10.725,-13.6,90,top
U1,0,0,0,top
U2,8,17.65,90,top
U3,-7,12.8,270,top
U4,-7,12.8,270,bottom
U5,-14.5,2.5,90,bottom
U6,19.46,2.5,180,top
U7,15,20,270,bottom
U8,15.75,20.275549,270,top
Y1,0,-14,0,top
